Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/23/2021,01/01/2020,06/19/2021,By Total,,,United States,Total - All Places of Death,592694,4847870,524746,290962,9169,834364,
06/23/2021,01/01/2020,06/19/2021,By Total,,,United States,"Healthcare setting, inpatient",388437,1504453,390680,236410,5804,548177,
06/23/2021,01/01/2020,06/19/2021,By Total,,,United States,"Healthcare setting, outpatient or emergency room",19235,287489,15206,6251,390,28563,
06/23/2021,01/01/2020,06/19/2021,By Total,,,United States,"Healthcare setting, dead on arrival",539,13588,334,145,18,746,
06/23/2021,01/01/2020,06/19/2021,By Total,,,United States,Decedent's home,42671,1626494,35834,11137,1738,68246,
06/23/2021,01/01/2020,06/19/2021,By Total,,,United States,Hospice facility,17657,292348,23063,8669,416,32452,
06/23/2021,01/01/2020,06/19/2021,By Total,,,United States,Nursing home/long term care facility,112287,796934,51420,25022,662,139309,
06/23/2021,01/01/2020,06/19/2021,By Total,,,United States,Other,11756,325683,8135,3281,140,16731,
06/23/2021,01/01/2020,06/19/2021,By Total,,,United States,Place of death unknown,112,881,74,47,1,140,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alabama,Total - All Places of Death,10886,92415,7903,3701,158,15227,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alabama,"Healthcare setting, inpatient",8312,30060,6628,3304,117,11736,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alabama,"Healthcare setting, outpatient or emergency room",365,6912,205,61,12,521,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alabama,"Healthcare setting, dead on arrival",,128,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alabama,Decedent's home,683,36363,370,113,19,958,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alabama,Hospice facility,118,3390,237,55,,304,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alabama,Nursing home/long term care facility,1329,10436,413,159,,1586,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alabama,Other,73,5126,49,,,116,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alabama,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alaska,Total - All Places of Death,346,6586,399,188,10,567,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alaska,"Healthcare setting, inpatient",256,2118,297,158,,401,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alaska,"Healthcare setting, outpatient or emergency room",,425,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alaska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alaska,Decedent's home,53,2786,60,22,,93,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alaska,Hospice facility,0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alaska,Nursing home/long term care facility,25,639,21,,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alaska,Other,,612,12,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Alaska,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arizona,Total - All Places of Death,15954,113481,14695,9413,153,21384,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arizona,"Healthcare setting, inpatient",10777,31353,10648,7548,111,13985,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arizona,"Healthcare setting, outpatient or emergency room",440,5848,335,164,,616,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arizona,"Healthcare setting, dead on arrival",,35,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arizona,Decedent's home,1501,38842,1322,545,14,2292,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arizona,Hospice facility,912,9002,871,373,17,1426,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arizona,Nursing home/long term care facility,1051,7318,644,382,,1316,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arizona,Other,1268,21083,874,400,,1744,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arizona,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arkansas,Total - All Places of Death,6062,54938,5763,2850,108,9075,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arkansas,"Healthcare setting, inpatient",3778,16467,4149,2202,68,5790,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arkansas,"Healthcare setting, outpatient or emergency room",218,4053,208,61,12,377,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arkansas,"Healthcare setting, dead on arrival",10,117,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arkansas,Decedent's home,350,17994,359,90,18,635,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arkansas,Hospice facility,237,5063,400,126,,515,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arkansas,Nursing home/long term care facility,1396,8139,589,353,,1635,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arkansas,Other,73,3105,52,15,0,110,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,California,Total - All Places of Death,65034,477723,63152,38221,854,90798,
06/23/2021,01/01/2020,06/19/2021,By Total,,,California,"Healthcare setting, inpatient",47558,159606,51214,32816,708,66648,
06/23/2021,01/01/2020,06/19/2021,By Total,,,California,"Healthcare setting, outpatient or emergency room",2369,27324,2022,944,38,3484,
06/23/2021,01/01/2020,06/19/2021,By Total,,,California,"Healthcare setting, dead on arrival",13,185,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,California,Decedent's home,5781,179361,4248,1601,63,8489,
